[hunt] up to 1.009e+12 | primes=9900764 t1=5569846 t2=2366079 residual=1964839 | 28.2s
[hunt] up to 1.009e+12 | primes=9938628 t1=5591193 t2=2375096 residual=1972339 | 28.3s
[hunt] up to 1.009e+12 | primes=9976699 t1=5612739 t2=2384121 residual=1979839 | 28.4s
[hunt] up to 1.009e+12 | primes=10014619 t1=5634052 t2=2393273 residual=1987294 | 28.5s
[hunt] up to 1.009e+12 | primes=10052428 t1=5655305 t2=2402391 residual=1994732 | 28.6s
[hunt] up to 1.009e+12 | primes=10090248 t1=5676568 t2=2411381 residual=2002299 | 28.7s
[hunt] up to 1.009e+12 | primes=10128097 t1=5697919 t2=2420434 residual=2009744 | 28.8s
[hunt] up to 1.009e+12 | primes=10165852 t1=5719289 t2=2429429 residual=2017134 | 28.9s
[hunt] up to 1.009e+12 | primes=10203777 t1=5740550 t2=2438506 residual=2024721 | 29.0s
[hunt] up to 1.009e+12 | primes=10241954 t1=5762087 t2=2447527 residual=2032340 | 29.2s
[hunt] up to 1.009e+12 | primes=10279873 t1=5783516 t2=2456469 residual=2039888 | 29.3s
[hunt] up to 1.009e+12 | primes=10317686 t1=5804673 t2=2465484 residual=2047529 | 29.4s
[hunt] up to 1.009e+12 | primes=10355472 t1=5825892 t2=2474586 residual=2054994 | 29.5s
[hunt] up to 1.009e+12 | primes=10393311 t1=5847172 t2=2483675 residual=2062464 | 29.6s
[hunt] up to 1.009e+12 | primes=10431036 t1=5868238 t2=2492813 residual=2069985 | 29.7s
[hunt] up to 1.009e+12 | primes=10468936 t1=5889571 t2=2501811 residual=2077554 | 29.8s
[hunt] up to 1.009e+12 | primes=10506889 t1=5910980 t2=2510817 residual=2085092 | 29.9s
[hunt] up to 1.009e+12 | primes=10544893 t1=5932304 t2=2519926 residual=2092663 | 30.0s
[hunt] up to 1.009e+12 | primes=10582825 t1=5953613 t2=2528926 residual=2100286 | 30.1s
[hunt] up to 1.009e+12 | primes=10620835 t1=5974836 t2=2538108 residual=2107891 | 30.2s
