[hunt] up to 1.000e+16 | primes=6489499 t1=3711095 t2=1549647 residual=1228757 | 20.1s
[hunt] up to 1.000e+16 | primes=6517862 t1=3727365 t2=1556379 residual=1234118 | 20.2s
[hunt] up to 1.000e+16 | primes=6546214 t1=3743591 t2=1563089 residual=1239534 | 20.3s
[hunt] up to 1.000e+16 | primes=6574495 t1=3759693 t2=1569878 residual=1244924 | 20.4s
[hunt] up to 1.000e+16 | primes=6602903 t1=3775811 t2=1576898 residual=1250194 | 20.5s
[hunt] up to 1.000e+16 | primes=6631493 t1=3792219 t2=1583759 residual=1255515 | 20.6s
[hunt] up to 1.000e+16 | primes=6659968 t1=3808450 t2=1590565 residual=1260953 | 20.6s
[hunt] up to 1.000e+16 | primes=6688363 t1=3824757 t2=1597325 residual=1266281 | 20.7s
[hunt] up to 1.000e+16 | primes=6716803 t1=3841020 t2=1604185 residual=1271598 | 20.8s
[hunt] up to 1.000e+16 | primes=6745315 t1=3857232 t2=1611006 residual=1277077 | 20.9s
[hunt] up to 1.000e+16 | primes=6773527 t1=3873412 t2=1617710 residual=1282405 | 21.0s
[hunt] up to 1.000e+16 | primes=6801936 t1=3889727 t2=1624416 residual=1287793 | 21.1s
[hunt] up to 1.000e+16 | primes=6830453 t1=3905950 t2=1631310 residual=1293193 | 21.2s
[hunt] up to 1.000e+16 | primes=6858931 t1=3922146 t2=1638128 residual=1298657 | 21.3s
[hunt] up to 1.000e+16 | primes=6887355 t1=3938351 t2=1644954 residual=1304050 | 21.3s
[hunt] up to 1.000e+16 | primes=6915836 t1=3954560 t2=1651856 residual=1309420 | 21.4s
[hunt] up to 1.000e+16 | primes=6944245 t1=3970781 t2=1658603 residual=1314861 | 21.5s
[hunt] up to 1.000e+16 | primes=6972735 t1=3987249 t2=1665315 residual=1320171 | 21.6s
[hunt] up to 1.000e+16 | primes=7001221 t1=4003538 t2=1672102 residual=1325581 | 21.7s
[hunt] up to 1.000e+16 | primes=7029667 t1=4019666 t2=1678987 residual=1331014 | 21.8s
[hunt] up to 1.000e+16 | primes=7057919 t1=4035780 t2=1685752 residual=1336387 | 21.9s
[hunt] up to 1.000e+16 | primes=7086469 t1=4052009 t2=1692684 residual=1341776 | 22.0s
[hunt] up to 1.000e+16 | primes=7114814 t1=4068284 t2=1699372 residual=1347158 | 22.0s
[hunt] up to 1.000e+16 | primes=7143366 t1=4084588 t2=1706187 residual=1352591 | 22.1s
[hunt] up to 1.000e+16 | primes=7171994 t1=4100976 t2=1712970 residual=1358048 | 22.2s
[hunt] up to 1.000e+16 | primes=7200394 t1=4117290 t2=1719637 residual=1363467 | 22.3s
[hunt] up to 1.000e+16 | primes=7228817 t1=4133643 t2=1726400 residual=1368774 | 22.4s
[hunt] up to 1.000e+16 | primes=7257292 t1=4149956 t2=1733193 residual=1374143 | 22.5s
[hunt] up to 1.000e+16 | primes=7285603 t1=4166147 t2=1739869 residual=1379587 | 22.6s
[hunt] up to 1.000e+16 | primes=7314180 t1=4182428 t2=1746709 residual=1385043 | 22.7s
[hunt] up to 1.000e+16 | primes=7342564 t1=4198645 t2=1753498 residual=1390421 | 22.7s
[hunt] up to 1.000e+16 | primes=7371208 t1=4215131 t2=1760266 residual=1395811 | 22.8s
[hunt] up to 1.000e+16 | primes=7399647 t1=4231311 t2=1767095 residual=1401241 | 22.9s
[hunt] up to 1.000e+16 | primes=7427964 t1=4247488 t2=1773881 residual=1406595 | 23.0s
[hunt] up to 1.000e+16 | primes=7456583 t1=4263972 t2=1780722 residual=1411889 | 23.1s
[hunt] up to 1.000e+16 | primes=7485037 t1=4280272 t2=1787473 residual=1417292 | 23.2s
[hunt] up to 1.000e+16 | primes=7513496 t1=4296473 t2=1794281 residual=1422742 | 23.3s
[hunt] up to 1.000e+16 | primes=7541859 t1=4312718 t2=1800975 residual=1428166 | 23.4s
[hunt] up to 1.000e+16 | primes=7570160 t1=4328958 t2=1807726 residual=1433476 | 23.5s
[hunt] up to 1.000e+16 | primes=7598604 t1=4345257 t2=1814461 residual=1438886 | 23.5s
[hunt] up to 1.000e+16 | primes=7627086 t1=4361596 t2=1821208 residual=1444282 | 23.6s
[hunt] up to 1.000e+16 | primes=7655440 t1=4377788 t2=1827926 residual=1449726 | 23.7s
[hunt] up to 1.000e+16 | primes=7683935 t1=4394169 t2=1834700 residual=1455066 | 23.8s
[hunt] up to 1.000e+16 | primes=7712475 t1=4410583 t2=1841450 residual=1460442 | 23.9s
[hunt] up to 1.000e+16 | primes=7740870 t1=4426731 t2=1848268 residual=1465871 | 24.0s
[hunt] up to 1.000e+16 | primes=7769075 t1=4442752 t2=1855093 residual=1471230 | 24.1s
[hunt] up to 1.000e+16 | primes=7797386 t1=4458943 t2=1861767 residual=1476676 | 24.2s
[hunt] up to 1.000e+16 | primes=7825789 t1=4475187 t2=1868469 residual=1482133 | 24.2s
[hunt] up to 1.000e+16 | primes=7854275 t1=4491474 t2=1875316 residual=1487485 | 24.3s
[hunt] up to 1.000e+16 | primes=7882763 t1=4507753 t2=1882145 residual=1492865 | 24.4s
[hunt] up to 1.000e+16 | primes=7911325 t1=4524150 t2=1889017 residual=1498158 | 24.5s
[hunt] up to 1.000e+16 | primes=7939632 t1=4540304 t2=1895822 residual=1503506 | 24.6s
[hunt] up to 1.000e+16 | primes=7967999 t1=4556470 t2=1902649 residual=1508880 | 24.7s
[hunt] up to 1.000e+16 | primes=7996569 t1=4572879 t2=1909477 residual=1514213 | 24.8s
[hunt] up to 1.000e+16 | primes=8024929 t1=4589024 t2=1916338 residual=1519567 | 24.9s
